City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Aromashevo,RU,2021-10-14 20:43:28,56.8602,68.6375,42.49,80,4,6.49
94,Moron,AR,2021-10-14 20:43:29,-34.6534,-58.6198,65.97,73,30,13.0
95,Yellowknife,CA,2021-10-14 20:31:02,62.456,-114.3525,46.29,82,20,14.97
96,Brzeg,PL,2021-10-14 20:43:30,50.8608,17.4674,49.71,86,100,11.48
97,Chernyshevskiy,RU,2021-10-14 20:43:30,63.0128,112.4714,12.76,98,72,2.39
98,Tessalit,ML,2021-10-14 20:37:16,20.1986,1.0114,87.28,9,100,9.04
99,Rio Gallegos,AR,2021-10-14 20:38:08,-51.6226,-69.2181,50.05,27,75,28.77
100,Vilhena,BR,2021-10-14 20:35:18,-12.7406,-60.1458,89.82,45,40,13.8
101,Bluff,NZ,2021-10-14 20:35:48,-46.6,168.3333,48.96,70,99,12.82
102,Kalmar,SE,2021-10-14 20:43:32,56.6616,16.3616,52.97,93,75,6.91
103,Pasni,PK,2021-10-14 20:43:33,25.2631,63.471,81.57,29,0,12.68
104,Banyo,CM,2021-10-14 20:43:34,6.75,11.8167,67.5,91,92,4.27
105,Semey,KZ,2021-10-14 20:43:34,50.4111,80.2275,36.34,87,4,10.25
106,Qaanaaq,GL,2021-10-14 20:34:55,77.484,-69.3632,19.11,95,95,8.1
107,Remontnoye,RU,2021-10-14 20:43:36,46.5614,43.6501,55.81,63,79,5.97
108,Akyab,MM,2021-10-14 20:38:06,20.15,92.9,80.55,89,100,6.49
109,Porto Novo,BJ,2021-10-14 20:39:11,6.4965,2.6036,82.22,83,6,5.48
110,Obihiro,JP,2021-10-14 20:43:37,42.9172,143.2044,51.33,93,99,1.83
111,Ingham,US,2021-10-14 20:43:37,42.6,-84.3833,78.75,91,90,10.36
112,Strezhevoy,RU,2021-10-14 20:43:38,60.7333,77.5889,39.18,95,84,10.02
113,Marabba,SD,2021-10-14 20:43:39,12.35,32.1833,86.11,48,36,3.76
114,Dauphin,CA,2021-10-14 20:43:40,51.1494,-100.0502,48.34,71,90,19.57
115,Kruisfontein,ZA,2021-10-14 20:35:49,-34.0033,24.7314,56.88,79,100,4.68
116,Talnakh,RU,2021-10-14 20:33:26,69.4865,88.3972,24.8,94,100,20.47
117,Altenholz,DE,2021-10-14 20:43:41,54.4,10.1333,55.35,86,100,18.79
118,Hovd,MN,2021-10-14 20:43:41,48.0056,91.6419,29.01,60,11,1.83
119,Castro,BR,2021-10-14 20:33:19,-24.7911,-50.0119,66.04,86,100,4.45
120,Lebu,CL,2021-10-14 20:36:23,-37.6167,-73.65,51.64,57,14,10.09
121,Novobirilyussy,RU,2021-10-14 20:43:42,56.9514,90.6661,24.84,66,31,4.29
122,Ocho Rios,JM,2021-10-14 20:43:43,18.4025,-77.1048,87.55,78,14,7.0
123,Trat,TH,2021-10-14 20:43:43,12.5,102.5,82.98,99,100,1.9
124,Te Anau,NZ,2021-10-14 20:35:22,-45.4167,167.7167,44.78,82,72,1.21
125,Sisimiut,GL,2021-10-14 20:43:44,66.9395,-53.6735,37.2,97,100,3.85
126,Pachino,IT,2021-10-14 20:43:45,36.7186,15.0907,58.6,70,100,8.63
127,Zilair,RU,2021-10-14 20:43:45,52.2332,57.4392,41.11,64,100,5.14
128,Helong,CN,2021-10-14 20:43:46,42.5397,128.9972,43.38,85,100,3.11
129,Medicine Hat,CA,2021-10-14 20:43:00,50.0501,-110.6683,50.43,45,75,3.0
