City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Miyako,JP,39.6367,141.9525,43.05,78,7,6.04,clear sky
198,Aklavik,CA,68.2191,-135.0107,25.81,84,100,9.35,overcast clouds
199,Lufilufi,WS,-13.8745,-171.5986,78.58,80,94,22.35,light rain
200,Barranca,PE,-10.75,-77.7667,67.17,71,15,10.29,few clouds
201,Mehamn,NO,71.0357,27.8492,35.78,77,100,28.66,overcast clouds
202,Rumphi,MW,-11.0186,33.8575,67.1,74,25,4.97,scattered clouds
203,Carnarvon,AU,-24.8667,113.6333,65.35,73,0,23.96,clear sky
204,Suriapet,IN,17.15,79.6167,73.27,74,30,6.58,scattered clouds
205,Khatanga,RU,71.9667,102.5,4.5,97,94,5.06,overcast clouds
206,Leningradskiy,RU,69.3833,178.4167,15.8,90,100,17.38,overcast clouds
207,Palora,EC,-1.7,-77.9333,84.18,49,54,5.35,broken clouds
208,Rio Branco,BR,-9.9747,-67.81,93.81,52,75,3.44,broken clouds
209,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,72,93,3.44,overcast clouds
210,Lumby,CA,50.2498,-118.969,53.19,93,55,4.38,broken clouds
211,Maceio,BR,-9.6658,-35.7353,87.24,74,40,19.57,scattered clouds
212,Sobolevo,RU,54.4299,31.8996,53.69,62,90,17.78,light rain
213,Uyuni,BO,-20.4597,-66.825,64.92,3,64,10.56,broken clouds
214,Colares,PT,38.7992,-9.4469,64.33,66,20,5.01,few clouds
215,Poum,NC,-20.2333,164.0167,74.82,78,21,13.53,few clouds
216,Camaqua,BR,-30.8511,-51.8122,69.44,66,76,8.39,broken clouds
217,Nakamura,JP,32.9833,132.9333,54.09,96,100,2.91,light rain
218,Norman Wells,CA,65.282,-126.8329,34.48,76,24,5.28,few clouds
219,Pangnirtung,CA,66.1451,-65.7125,32.16,67,64,5.3,broken clouds
220,Kavieng,PG,-2.5744,150.7967,80.13,81,100,10.07,moderate rain
221,Lasa,IT,46.6166,10.7002,52.63,84,99,2.95,overcast clouds
222,Bithur,IN,26.6333,80.2833,71.69,49,0,5.82,clear sky
223,Mandurah,AU,-32.55,115.7,58.15,80,84,6.15,broken clouds
224,Litovko,RU,49.2361,135.1742,30.67,70,100,2.48,overcast clouds
